,episode,total_reward
951,951,-134.732
952,952,-134.981
953,953,-135.23000000000002
954,954,-135.479
955,955,-135.728
956,956,-135.978
957,957,-136.227
958,958,-136.476
959,959,-136.725
960,960,-136.97400000000002
961,961,-137.223
962,962,-137.472
963,963,-437.674
964,964,-137.775
965,965,-24201.143000000004
966,966,-438.534
967,967,-138.636
968,968,-138.88400000000001
969,969,-139.133
970,970,-139.382
971,971,-139.597
972,972,-139.811
973,973,-140.026
974,974,-140.275
975,975,-140.524
976,976,-140.773
977,977,-141.022
978,978,-141.27100000000002
979,979,-141.52
980,980,-141.769
981,981,-142.018
982,982,-142.267
983,983,-142.516
984,984,-142.76500000000001
985,985,-143.014
986,986,-143.263
987,987,-143.477
988,988,-143.733
989,989,-143.982
990,990,-144.231
991,991,-144.48000000000002
992,992,-144.729
993,993,-144.978
994,994,-145.227
995,995,-145.476
996,996,-145.725
997,997,-145.97400000000002
998,998,-146.223
999,999,-146.472
