,vehicle_id,time,input acceleration,desire acceleration
374,car.forward,0.35,0.0,0.0
375,car.leftforward0,0.35,-1.0,-1.0
376,car.leftforward1,0.35,-0.07987732053683026,-0.07987732053683026
377,car.leftforward2,0.35,0.0,0.0
378,car.leftrear0,0.35,0.5710590987395758,0.5710590987395758
379,car.leftrear1,0.35,0.740433558359811,0.740433558359811
380,car.rightforward0,0.35,-0.03554821472271247,-0.03554821472271247
381,car.rightforward1,0.35,-1.0,-1.0
382,car.rightforward2,0.35,0.0,0.0
383,car.rightrear0,0.35,-1.0,-1.0
384,car.rightrear1,0.35,0.4582442155410724,0.4582442155410724
385,car.forward,0.36,0.0,0.0
386,car.leftforward0,0.36,-1.0,-1.0
387,car.leftforward1,0.36,-0.07913325510984742,-0.07913325510984742
388,car.leftforward2,0.36,0.0,0.0
389,car.leftrear0,0.36,0.5714551501299487,0.5714551501299487
390,car.leftrear1,0.36,0.7265503173535534,0.7265503173535534
391,car.rightforward0,0.36,-0.042121811774261664,-0.042121811774261664
392,car.rightforward1,0.36,-1.0,-1.0
393,car.rightforward2,0.36,0.0,0.0
394,car.rightrear0,0.36,-1.0,-1.0
395,car.rightrear1,0.36,0.45383291519389146,0.45383291519389146
396,car.forward,0.37,0.0,0.0
397,car.leftforward0,0.37,-1.0,-1.0
398,car.leftforward1,0.37,-0.07839392920413282,-0.07839392920413282
399,car.leftforward2,0.37,0.0,0.0
400,car.leftrear0,0.37,0.5717575778579079,0.5717575778579079
401,car.leftrear1,0.37,0.712750511172091,0.712750511172091
402,car.rightforward0,0.37,-0.04865870916446974,-0.04865870916446974
403,car.rightforward1,0.37,-1.0,-1.0
404,car.rightforward2,0.37,0.0,0.0
405,car.rightrear0,0.37,-1.0,-1.0
406,car.rightrear1,0.37,0.44941112945925143,0.44941112945925143
407,car.forward,0.38,0.0,0.0
408,car.leftforward0,0.38,-1.0,-1.0
409,car.leftforward1,0.38,-0.07765931733301665,-0.07765931733301665
410,car.leftforward2,0.38,0.0,0.0
411,car.leftrear0,0.38,0.5719674564890944,0.5719674564890944
412,car.leftrear1,0.38,0.6990337068320266,0.6990337068320266
413,car.rightforward0,0.38,-0.05515908801194874,-0.05515908801194874
414,car.rightforward1,0.38,-1.0,-1.0
415,car.rightforward2,0.38,0.0,0.0
416,car.rightrear0,0.38,-1.0,-1.0
417,car.rightrear1,0.38,0.44497911755822095,0.44497911755822095
418,car.forward,0.39,0.0,0.0
419,car.leftforward0,0.39,-1.0,-1.0
420,car.leftforward1,0.39,-0.07692939413211751,-0.07692939413211751
421,car.leftforward2,0.39,0.0,0.0
422,car.leftrear0,0.39,0.5720858520575265,0.5720858520575265
423,car.leftrear1,0.39,0.6853994733692756,0.6853994733692756
424,car.rightforward0,0.39,-0.061623128626583146,-0.061623128626583146
425,car.rightforward1,0.39,-1.0,-1.0
426,car.rightforward2,0.39,0.0,0.0
427,car.rightrear0,0.39,-1.0,-1.0
428,car.rightrear1,0.39,0.44053713639567604,0.44053713639567604
429,car.forward,0.4,0.0,0.0
430,car.leftforward0,0.4,-1.0,-1.0
431,car.leftforward1,0.4,-0.07620413435882975,-0.07620413435882975
432,car.leftforward2,0.4,0.0,0.0
433,car.leftrear0,0.4,0.572113822121735,0.572113822121735
434,car.leftrear1,0.4,0.6718473818305292,0.6718473818305292
435,car.rightforward0,0.4,-0.06805101051278223,-0.06805101051278223
436,car.rightforward1,0.4,-1.0,-1.0
437,car.rightforward2,0.4,0.0,0.0
438,car.rightrear0,0.4,-1.0,-1.0
439,car.rightrear1,0.4,0.4360854405759398,0.4360854405759398
440,car.forward,0.41,0.0,0.0
441,car.leftforward0,0.41,-1.0,-1.0
442,car.leftforward1,0.41,-0.075483512891776,-0.075483512891776
443,car.leftforward2,0.41,0.0,0.0
444,car.leftrear0,0.41,0.5720524158205821,0.5720524158205821
445,car.leftrear1,0.41,0.6583770052647409,0.6583770052647409
446,car.rightforward0,0.41,-0.07444291237274975,-0.07444291237274975
447,car.rightforward1,0.41,-1.0,-1.0
448,car.rightforward2,0.41,0.0,0.0
449,car.rightrear0,0.41,-1.0,-1.0
450,car.rightrear1,0.41,0.43162428241829465,0.43162428241829465
451,car.forward,0.42,0.0,0.0
452,car.leftforward0,0.42,-1.0,-1.0
453,car.leftforward1,0.42,-0.07476750473028347,-0.07476750473028347
454,car.leftforward2,0.42,0.0,0.0
455,car.leftrear0,0.42,0.5719026739287504,0.5719026739287504
456,car.leftrear1,0.42,0.6449879187146488,0.6449879187146488
457,car.rightforward0,0.42,-0.08079901210972423,-0.08079901210972423
458,car.rightforward1,0.42,-1.0,-1.0
459,car.rightforward2,0.42,0.0,0.0
460,car.rightrear0,0.42,-1.0,-1.0
461,car.rightrear1,0.42,0.4271539119724359,0.4271539119724359
462,car.forward,0.43,0.0,0.0
463,car.leftforward0,0.43,-1.0,-1.0
464,car.leftforward1,0.43,-0.07405608499385803,-0.07405608499385803
465,car.leftforward2,0.43,0.0,0.0
466,car.leftrear0,0.43,0.5716656289119072,0.5716656289119072
467,car.leftrear1,0.43,0.631679699208333,0.631679699208333
468,car.rightforward0,0.43,-0.08711948683119691,-0.08711948683119691
469,car.rightforward1,0.43,-1.0,-1.0
470,car.rightforward2,0.43,0.0,0.0
471,car.rightrear0,0.43,-1.0,-1.0
472,car.rightrear1,0.43,0.42267457703381417,0.42267457703381417
473,car.forward,0.44,0.0,0.0
474,car.leftforward0,0.44,-1.0,-1.0
475,car.leftforward1,0.44,-0.07334922892165442,-0.07334922892165442
476,car.leftforward2,0.44,0.0,0.0
477,car.leftrear0,0.44,0.5713423049815461,0.5713423049815461
478,car.leftrear1,0.44,0.6184519257508141,0.6184519257508141
479,car.rightforward0,0.44,-0.09340451285215517,-0.09340451285215517
480,car.rightforward1,0.44,-1.0,-1.0
481,car.rightforward2,0.44,0.0,0.0
482,car.rightrear0,0.44,-1.0,-1.0
483,car.rightrear1,0.44,0.41818652315890104,0.41818652315890104
484,car.forward,0.45,0.0,0.0
485,car.leftforward0,0.45,-1.0,-1.0
486,car.leftforward1,0.45,-0.07264691187197947,-0.07264691187197947
487,car.leftforward2,0.45,0.0,0.0
488,car.leftrear0,0.45,0.5709337181495325,0.5709337181495325
489,car.leftrear1,0.45,0.6053041793156564,0.6053041793156564
490,car.rightforward0,0.45,-0.09965426569826175,-0.09965426569826175
491,car.rightforward1,0.45,-1.0,-1.0
492,car.rightforward2,0.45,0.0,0.0
493,car.rightrear0,0.45,-1.0,-1.0
494,car.rightrear1,0.45,0.41368999368036535,0.41368999368036535
495,car.forward,0.46,0.0,0.0
496,car.leftforward0,0.46,-1.0,-1.0
497,car.leftforward1,0.46,-0.07194910932173731,-0.07194910932173731
498,car.leftforward2,0.46,0.0,0.0
499,car.leftrear0,0.46,0.5704408762822977,0.5704408762822977
500,car.leftrear1,0.46,0.5922360428366347,0.5922360428366347
501,car.rightforward0,0.46,-0.10586892010908516,-0.10586892010908516
502,car.rightforward1,0.46,-1.0,-1.0
503,car.rightforward2,0.46,0.0,0.0
504,car.rightrear0,0.46,-1.0,-1.0
505,car.rightrear1,0.46,0.40918522972216886,0.40918522972216886
506,car.forward,0.47,0.0,0.0
507,car.leftforward0,0.47,-1.0,-1.0
508,car.leftforward1,0.47,-0.0712557968659416,-0.0712557968659416
509,car.leftforward2,0.47,0.0,0.0
510,car.leftrear0,0.47,0.5698647791547524,0.5698647791547524
511,car.leftrear1,0.47,0.5792471011994099,0.5792471011994099
512,car.rightforward0,0.47,-0.11204865004124914,-0.11204865004124914
513,car.rightforward1,0.47,-1.0,-1.0
514,car.rightforward2,0.47,0.0,0.0
515,car.rightrear0,0.47,-1.0,-1.0
516,car.rightrear1,0.47,0.4046724702145519,0.4046724702145519
517,car.forward,0.48,0.0,0.0
518,car.leftforward0,0.48,-1.0,-1.0
